time,prec
0,2.5285255560447695e-06
30,1.1967797490797238e-06
60,3.137424471333361e-07
90,1.1422454235798796e-06
120,1.526144615127123e-06
150,2.687165988390916e-06
180,3.4678982956393156e-06
210,2.683399543457199e-06
240,1.6784752006060444e-06
270,7.891461564213387e-07
300,1.907594878503005e-06
330,2.4520622901036404e-06
360,1.9278679701528745e-06
390,7.840329772079713e-07
420,1.7765224811228109e-06
450,1.560218720442208e-06
480,3.5364830637263367e-06
510,1.9118149339192314e-06
540,1.4029324120201636e-06
570,2.3984898689377587e-06
600,1.066719164555252e-06
630,1.7093253745770198e-06
660,3.000684046128299e-06
690,6.788933433199418e-07
720,1.7862444110505749e-06
750,1.1354419484632672e-06
780,1.1688779295582208e-06
810,2.9478771921276348e-06
840,2.446402277200832e-06
870,8.780313578427013e-07
900,1.4077819514568546e-06
930,8.207917971958523e-07
960,1.528986558696488e-06
990,1.054185190696444e-06
1020,1.5353911066995352e-06
1050,4.3389655957071227e-07
1080,2.364613891359113e-07
1110,1.349371359538054e-06
1140,2.6792431526700966e-06
1170,3.0965200039645424e-06
1200,1.7035192740877392e-06
1230,9.519001196167665e-07
1260,9.7139559329662e-07
1290,1.9855326627293834e-06
1320,1.542393647468998e-06
1350,1.0078147170133889e-06
1380,1.4316652823254117e-06
1410,3.4088247957697604e-06
1440,1.7466226154283504e-06
1470,2.4086818939395016e-06
1500,9.430652880837442e-07
1530,1.4857382666377816e-06
1560,1.5868573655097862e-06
1590,9.19955084555113e-07
1620,5.875937176824664e-07
1650,1.3474509614752606e-06
1680,3.0905225685273763e-06
1710,2.048115220532054e-06
1740,1.0651903039615718e-06
1770,2.117191343131708e-06
1800,1.192769786939607e-06
1830,1.3299057854965213e-06
1860,2.83796907751821e-06
1890,2.1150740394659806e-06
1920,1.6352107650163816e-06
1950,2.884575906136888e-06
1980,4.2779601017173263e-07
2010,3.9382601357829117e-07
2040,1.1772860943892738e-06
2070,1.7464403754274826e-06
2100,1.099956534744706e-06
2130,9.751377092470648e-07
2160,3.1602151011611568e-06
2190,7.91628167462477e-07
2220,1.7057282093446702e-06
2250,3.581521241358132e-06
2280,1.9609199171100045e-06
2310,2.4379808110097656e-06
2340,3.3250776141358074e-06
2370,1.56743237766932e-06
2400,1.6995854821288958e-06
2430,1.9827357391477562e-06
2460,7.854997079448367e-07
2490,1.4812129620622727e-06
2520,6.970004164941201e-07
2550,3.3206588341272436e-06
2580,2.1971866317471722e-06
2610,2.169126446460723e-06
2640,1.6803597873149556e-06
2670,1.3060994206171017e-06
2700,1.0856343806153745e-06
2730,1.0366744618295343e-06
2760,2.7125868200528203e-06
2790,1.9490028080326738e-06
2820,8.879931669980579e-07
2850,1.681563958300103e-06
2880,1.978771251742728e-06
2910,7.178423970799486e-07
2940,2.541715730330907e-06
2970,1.5789984217917663e-06
3000,5.882808409296558e-07
3030,1.3389550304054865e-06
3060,3.1092242807062576e-06
3090,1.9969804725405993e-06
3120,2.7872629289049655e-06
3150,1.170327209365496e-06
3180,6.548148121510167e-07
3210,1.8074317722494015e-06
3240,2.139392563549336e-06
3270,1.2409971077431692e-06
3300,1.8818940361597924e-06
3330,1.3486468333212542e-06
3360,2.331652467546519e-06
3390,7.50615242850472e-07
3420,1.918142970680492e-06
3450,1.2264389397387276e-06
3480,2.4529724669264397e-06
3510,2.3169941414380446e-06
3540,9.907207640935667e-07
3570,1.8882108179241186e-06
3600,1.0895776085817488e-06
3630,5.873325790162198e-07
3660,2.1572166133410065e-06
3690,1.1491080158521072e-06
3720,2.6530103696131846e-06
3750,7.980458462952811e-07
3780,9.006549248624651e-07
3810,2.3910117761261063e-06
3840,1.1385923244233709e-06
3870,1.977203964997898e-06
3900,9.907652156471158e-07
3930,1.2303000858082669e-06
3960,1.418412807652203e-06
3990,8.053798978835403e-07
4020,8.75501939390233e-07
4050,2.7250855509919347e-06
4080,1.5721535646662232e-06
4110,1.4950931017665425e-06
4140,1.2799215483028092e-06
4170,1.3252221151560661e-06
4200,1.6133982398969238e-06
4230,1.8361128013566486e-06
4260,1.1436801514719264e-06
4290,3.963373274018522e-06
4320,1.8645656609805883e-06
4350,1.5232611758619896e-06
4380,1.5131827240111306e-06
4410,2.0658701487263897e-06
4440,1.974433416762622e-06
4470,2.2748376977688167e-06
4500,1.6575244217165164e-06
4530,2.2631511455983855e-06
4560,2.0294517071306473e-06
4590,1.0392089961897e-06
4620,6.202080840012059e-07
4650,2.0530292204057332e-06
4680,1.6309668353642337e-06
4710,1.33637013277621e-06
4740,1.340341668765177e-06
4770,1.673335077612137e-06
4800,1.3781314009975176e-06
4830,1.0920865634034271e-06
4860,1.6645027471895446e-06
4890,1.960300096470746e-06
4920,1.8726698272075737e-06
4950,2.287317784066545e-06
4980,1.733277713356074e-06
5010,3.0908013286534697e-06
5040,1.521770059298433e-06
5070,1.5386178802145878e-06
5100,1.089635475182149e-06
5130,1.2764249959218432e-06
5160,7.194796012299776e-07
5190,2.692257339731441e-06
5220,1.0781357104860945e-06
5250,2.452449280099245e-06
5280,1.4077414789426257e-06
5310,9.919530157276313e-07
5340,8.764397989580175e-07
5370,2.21413210965693e-06
5400,1.0570519179964322e-06
5430,2.32110846809519e-06
5460,1.0489573014638154e-06
5490,2.7334265269018942e-06
5520,1.9635560875030933e-06
5550,1.5663063095416874e-06
5580,1.7231024003194761e-06
5610,4.83668145534466e-07
5640,1.3310278745848336e-06
5670,1.0022808965004515e-06
5700,1.4320646641863277e-06
5730,2.1733753783337306e-06
5760,1.3377934919844847e-06
5790,6.042867539690633e-07
5820,2.8102135729568545e-06
5850,2.1322812244761735e-06
5880,1.9460730982245877e-06
5910,1.429179746992304e-06
5940,1.4859813290968304e-06
5970,1.2205290431666072e-06
6000,1.2892136282971478e-06
6030,2.307735485373996e-06
6060,3.3219739634660073e-06
6090,2.6205718768324004e-06
6120,9.756649888004176e-07
6150,1.6538122054043924e-06
6180,2.8828417271142825e-06
6210,2.0488396330620162e-06
6240,1.5640969195374055e-06
6270,2.3662837520532776e-06
6300,2.0132217741775094e-06
6330,2.546172254369594e-06
6360,2.270631739520468e-06
6390,1.2832223319492186e-06
6420,1.1359505833752337e-06
6450,1.3732352499573608e-06
6480,7.588359949295409e-07
6510,4.85140390082961e-07
6540,2.302025905009941e-06
